site,latitude,longitude,reference_short
200 km Randabstand,71.19006,-45.4299,Wegener (1930)
Eismitte,71.183,-39.933,Wegener (1930)
4-300,72.815,-40.75,Benson (1962)
4-325,72.46666666666667,-40.333333333333336,Benson (1962)
4-350,72.11666666666666,-39.93333333333333,Benson (1962)
4-375,71.77,-39.6,Benson (1962)
4-400,71.425,-39.333333333333336,Benson (1962)
5-0,71.08333333333333,-38.96666666666667,Benson (1962)
5-20,71.0,-39.66666666666666,Benson (1962)
5-40,70.90666666666667,-40.63333333333333,Benson (1962)
5-65,70.775,-41.63333333333333,Benson (1962)
5-90,70.63,-42.61666666666667,Benson (1962)
5-115,70.45166666666667,-43.583333333333336,Benson (1962)
5-140,70.3,-44.55,Benson (1962)
5-150,70.25,-44.96666666666667,Benson (1962)
5-160,70.175,-45.36666666666667,Benson (1962)
5-170,70.105,-45.73333333333333,Benson (1962)
5-180,70.04,-46.13333333333333,Benson (1962)
5-190,69.97666666666667,-46.5,Benson (1962)
5-200,69.91666666666667,-46.93333333333333,Benson (1962)
5-210,69.87,-47.3,Benson (1962)
5-220,69.80166666666666,-47.66666666666666,Benson (1962)
StationCentrale,70.92,-40.63,Heuberger (1954)
Station Centrale,70.9167,-40.6333,"de Quervain, 1969"
Crete,71.1204,-37.3164,"de Quervain, 1969"
CP1,69.87975,-46.98667,Steffen et al. (1996)
Summit,72.57972,-38.50454,Steffen et al. (1996)
CP2,69.9133333,-46.8547222,Steffen et al. (1996)
CP1,69.874,-47.024,Steffen et al. (2001)
Summit,72.58,-38.505,Steffen et al. (2001)
Point A (GRIP Summit),72.58333333333333,-37.63333333333333,Laternser (1994)
Point 1 (NST 8),71.87,-37.77166666666667,Laternser (1994)
"Point C (T 43, Crete)",71.12,-37.33,Laternser (1994)
Point 2 (NST 12),71.46833333333333,-37.59166666666667,Laternser (1994)
CP1,69.87975,-46.98667,Steffen et al. (1996)
Summit,72.57972,-38.50454,Steffen et al. (1996)
CP2,69.9133333,-46.8547222,Steffen et al. (1996)
T4,69.819983,-47.4505,Humphrey et al. (2012)
T3,69.7836,-47.670183,Humphrey et al. (2012)
Summit,72.58333333333333,-38.5,Giese and Hawley (2015)
Summit,72.57972,-38.50454,Steffen et al. (1996)
Summit,72.57971954345703,-38.504539489746094,MacFerrin et al. (2022)
CP1,69.87975311279297,-46.98667144775391,MacFerrin et al. (2022)
